word,count
waterboard,3
numbers,3
keating,3
cultural,3
revesby,3
paradise,3
junior,3
prasad,3
antil,3
assistants,3
greater,3
beacham,3
marvellous,3
johnston,3
cosmos,3
gallaghan,3
hawkins,3
disappeared,3
adb,3
mile,3
hills,3
draw,3
caldicott,3
mx,3
maralinga,3
burning,3
britton,3
libya,3
broad,3
leura,3
clean,3
20/10,3
balazo,3
edgar,3
anti-warship,3
conscientious,3
haylen,3
humphrey,3
seqeb,3
mosman,3
ward,3
roden,3
heartlands,3
kogarah,3
a.i.s,3
cuthbert,3
hilda,3
graphics,3
8/84,3
handing,3
papers,3
heads,3
june/july,3
nicaraguan,3
larry,3
authority,3
ici,3
sol,3
swancott,3
gregory,3
gray,3
sison,3
blockaders,3
reg,3
centenary,3
hood,3
panorama,3
aaron,3
roberto,3
typewriter,3
criterion,3
18.5.66,3
symon,3
clare,3
depot,3
mather,3
ase,3
daughter,3
counter,3
cinema,3
begun,3
darby,3
kennedy,3
wking,3
flnk,3
bris,3
apsa,3
wks,3
psychiatric,3
b'day,3
hay,3
swarc,3
artists,3
pages,3
sector,3
yeo,3
today,3
contract,3
burke,3
concerning,3
wild,3
tommy,3
grimes,3
victor,3
engineers,3
20th,3
olivares,3
surveyors,3
draughtsmen,3
farabundo,3
hamburgers,3
tivoli,3
crisis,3
wayne,3
equity,3
middle,3
schofield,3
miscellaneous,3
woolworths,3
penan,3
twu,3
crematorium,3
marxist,3
freight,3
diego,3
mari,3
steve,3
moyekisn,3
linesmen,3
hunter,3
percy,3
q,3
moran,3
bottles,3
cynthia,3
lang,3
lockwood,3
bolt,3
anti-discrimination,3
veteran,3
steward,3
linda,3
warwick,3
auburn,3
neilly,3
presenting,3
dump,3
mario,3
entry,3
pollies,3
warren,3
interviewing,3
felicity,3
1973,3
vice-president,3
jeff,3
amago,3
pilbara,3
j.b,3
mitchell,3
higham,3
curthoys,3
neil,3
soup,3
7-8,3
escorted,3
cia,3
newington,3
scabs,3
gallagher,3
filmmakers,3
fitzroy,3
jeanne,3
sugar,3
test,3
grace,3
f-19,3
torpedo,3
jacqueline,3
bowraville,3
19-21,3
14-16,3
chambers,3
waters,3
scudery,3
rural,3
ranger,3
halfpenny,3
aileen,3
outhred,3
eyl,3
marti,3
dean,3
perth,3
davies,3
w.a,3
rigoberta,3
families,3
pagewood,3
chief,3
cat,3
guatemala,3
u.a.w,3
da,3
aeu,3
baird,3
scott,3
ncc,3
rise,3
asbestos,3
vivien,3
orchestra,3
late,3
keane,3
silva,3
gissing,3
penny,3
wal,3
great,3
32-34,3
beverly,3
foundation,3
int,3
mt,3
162/item,3
moses,3
astronomy,3
artist,3
menchu,3
freeways,3
welding,3
booths,3
maria,3
4/4/77,3
trams,3
kazac,2
gomez,2
argentina,2
tours,2
grocery,2
fightback,2
gold,2
antarctica,2
lankan,2
handover,2
hosp,2
shaking,2
